description	n_missing	n_non_missing	PHESANT_transformation	n_cases	n_controls	variable_type	source	notes	phenotype	raymond_both_sexes_qc	dominance_qc	dominance_qc_no_ordinal
Polyunsaturated fat	309741	51453	100007_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Polyunsaturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100007_irnt	TRUE	TRUE	TRUE
Polyunsaturated fat	309741	51453	100007_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Polyunsaturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100007_raw	FALSE	FALSE	FALSE
Total sugars	309741	51453	100008_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Total sugars. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100008_irnt	TRUE	TRUE	TRUE
Total sugars	309741	51453	100008_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Total sugars. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100008_raw	FALSE	FALSE	FALSE
Englyst dietary fibre	309741	51453	100009_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Englyst dietary fibre. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100009_irnt	TRUE	TRUE	TRUE
Englyst dietary fibre	309741	51453	100009_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Englyst dietary fibre. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100009_raw	FALSE	FALSE	FALSE
Portion size	309767	51427	100010_0|| CAT-SINGLE || Inc(>=10): 10(41137) || Inc(>=10): 15(6453) || Inc(>=10): 5(3837) || ordered || CAT-ORD || order: 5|10|15 || num categories: 3 ||			ordinal	phesant	"Question asked: ""How would you describe your serving size?"" If the participant activated the Help feature they were shown the message: Please compare the amount you eat with other people you know, then try to answer the question."	100010	TRUE	TRUE	FALSE
Iron	309741	51453	100011_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Iron. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100011_irnt	TRUE	TRUE	TRUE
Iron	309741	51453	100011_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Iron. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100011_raw	FALSE	FALSE	FALSE
Vitamin B6	309741	51453	100012_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Vitamin B6. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100012_irnt	TRUE	TRUE	TRUE
Vitamin B6	309741	51453	100012_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Vitamin B6. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100012_raw	FALSE	FALSE	FALSE
Vitamin B12	309741	51453	100013_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Vitamin B12. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100013_irnt	TRUE	TRUE	TRUE
Vitamin B12	309741	51453	100013_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Vitamin B12. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100013_raw	FALSE	FALSE	FALSE
Folate	309741	51453	100014_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Folate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100014_irnt	TRUE	TRUE	TRUE
Folate	309741	51453	100014_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Folate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100014_raw	FALSE	FALSE	FALSE
Vitamin C	309741	51453	100015_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Vitamin C. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100015_irnt	TRUE	TRUE	TRUE
Vitamin C	309741	51453	100015_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Vitamin C. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100015_raw	FALSE	FALSE	FALSE
Potassium	309741	51453	100016_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Potassium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100016_irnt	TRUE	TRUE	TRUE
Potassium	309741	51453	100016_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Potassium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100016_raw	FALSE	FALSE	FALSE
Magnesium	309741	51453	100017_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Magnesium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100017_irnt	TRUE	TRUE	TRUE
Magnesium	309741	51453	100017_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Magnesium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100017_raw	FALSE	FALSE	FALSE
Retinol	311304	49890	100018_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Retinol. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100018_irnt	TRUE	FALSE	FALSE
Retinol	311304	49890	100018_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Retinol. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100018_raw	FALSE	FALSE	FALSE
Carotene	309741	51453	100019_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Carotene. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100019_irnt	TRUE	TRUE	TRUE
Carotene	309741	51453	100019_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Carotene. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100019_raw	FALSE	FALSE	FALSE
Vitamin D	309741	51453	100021_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Vitamin D. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100021_irnt	TRUE	TRUE	TRUE
Vitamin D	309741	51453	100021_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Vitamin D. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100021_raw	FALSE	FALSE	FALSE
Alcohol	309741	51453	100022_0|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: [0,0], 1: (0,24), 2: >=24 ||cat N: 24722, 12958, 13773 || CAT-ORD || order: 0|1|2 || num categories: 3 ||			ordinal	phesant	Alcohol. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100022	TRUE	TRUE	FALSE
Starch	309741	51453	100023_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Starch. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100023_irnt	TRUE	TRUE	TRUE
Starch	309741	51453	100023_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Starch. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100023_raw	FALSE	FALSE	FALSE
Calcium	309741	51453	100024_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Calcium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100024_irnt	TRUE	TRUE	TRUE
Calcium	309741	51453	100024_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Calcium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100024_raw	FALSE	FALSE	FALSE
Vitamin E	309741	51453	100025_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Vitamin E. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100025_irnt	TRUE	TRUE	TRUE
Vitamin E	309741	51453	100025_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Vitamin E. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100025_raw	FALSE	FALSE	FALSE
Duration of strenuous sports	324275	36919	1001_0|| CAT-SINGLE || Inc(>=10): 3(15328) || Inc(>=10): 5(4457) || Inc(>=10): 4(10900) || Inc(>=10): 6(1828) || Inc(>=10): 2(2565) || Inc(>=10): 7(1518) || Inc(>=10): 1(323) || ordered || CAT-ORD || order: 1|2|3|4|5|6|7 || num categories: 7 ||			ordinal	phesant	"ACE touchscreen question ""Each time you did strenuous sports, about how long did you spend doing it?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F1001~ was collected from all participants who indicated that they spent time doing strenuous sports in the previous 4 weeks, as defined by their answers to ~F6164~"	1001	TRUE	FALSE	FALSE
Drinking water intake	309767	51427	100150_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 8018 || Inc(>=10): 3(11217) || Inc(>=10): 1(2873) || Inc(>=10): 2(10317) || Inc(>=10): 4(7215) || Inc(>=10): 5(5287) || Inc(>=10): 0(8018) || Inc(>=10): 7(3569) || Inc(>=10): 6(2931) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many glasses/beakers of water (e.g. still, fizzy, tap) did you drink yesterday?"""	100150	TRUE	TRUE	FALSE
Low calorie drink intake	309767	51427	100160_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 44547 || Inc(>=10): 0(44547) || Inc(>=10): 4(561) || Inc(>=10): 2(3543) || Inc(>=10): 5(283) || Inc(>=10): 1(701) || Inc(>=10): 3(1607) || Inc(>=10): 7(100) || Inc(>=10): 6(85) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many glasses/cans of low calorie or diet drinks (e.g. fizzy, squash) did you drink yesterday?"" If the participant activated the Help feature they were shown the message: Low calorie flavoured water should be recorded under low calorie drinks."	100160	TRUE	TRUE	FALSE
Fizzy drink intake	309767	51427	100170_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 46798 || Inc(>=10): 0(46798) || Inc(>=10): 2(2697) || Inc(>=10): 1(888) || Inc(>=10): 3(761) || Inc(>=10): 5(49) || Inc(>=10): 4(197) || Inc(>=10): 6(20) || Inc(>=10): 7(17) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many glasses/cans of carbonated (fizzy) drinks did you drink yesterday?"""	100170	TRUE	TRUE	FALSE
Orange juice intake	309780	51414	100190_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 37719 || Inc(>=10): 0(37719) || Inc(>=10): 1(4329) || Inc(>=10): 2(7955) || Inc(>=10): 3(1221) || Inc(>=10): 4(147) || Inc(>=10): 5(43) || Removed 6: 6<10 examples || Removed 7: 7<10 examples || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 6 ||			ordinal	phesant	"Question asked: ""How many glasses/cartons/250ml of pure orange juice did you drink yesterday?"""	100190	TRUE	TRUE	FALSE
Coffee consumed	309767	51427	100240_0|| CAT-SINGLE || Inc(>=10): 1(36318) || Inc(>=10): 0(15109) || CAT-SINGLE-BINARY || sample 15109/36318(51427) ||	36318	15109	binary	phesant	"Question asked: ""Did you drink any coffee yesterday?"" If the participant activated the Help feature they were shown the message: Include all coffee drinks whether hot, cold/iced, instant, shop bought (including Starbucks), machine made or made by hand. Coffee substitutes such as Barley Cup and Dandelion Coffee should not be recorded here. Instead, record this under other non-alcoholic drinks (further down the page). If some of your coffees were decaffeinated and some were not, please choose Varied for the decaf question. Likewise, if you added sugar/sweetener to some of your coffees but not all, or if the amount of sugar/sweetener you added varied from one coffee drink to another, please choose Varied. The questions on milk, decaffeinated coffee and sugar/sweetener need to be answered here."	100240	TRUE	TRUE	TRUE
Instant coffee intake	309767	51427	100250_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 25775 || Inc(>=10): 5(2865) || Inc(>=10): 7(1039) || Inc(>=10): 0(25775) || Inc(>=10): 3(7205) || Inc(>=10): 4(4616) || Inc(>=10): 2(8202) || Inc(>=10): 1(170) || Inc(>=10): 6(1555) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many cups/mugs of instant coffee did you drink yesterday?"" This question was only asked to participants who reported drinking coffee yesterday."	100250	TRUE	TRUE	FALSE
Added milk to instant coffee	309767	51427	100260_0|| CAT-SINGLE || reassignments: 111=NA || reorder 111|1 || Default related field: x20082_0_0 || default value 0 set, N= 30297 || Inc(>=10): 2(21130) || Inc(>=10): 0(30297) || CAT-SINGLE-BINARY || sample 30297/21130(51427) ||	30297	21130	binary	phesant	"Question asked: ""Did you add milk, cream or whitener (e.g. Coffee-mate) to your instant coffee?"" This question was only asked to participants who reported drinking instant coffee yesterday."	100260	TRUE	TRUE	TRUE
Filtered coffee intake	309767	51427	100270_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 41264 || Inc(>=10): 0(41264) || Inc(>=10): 2(4719) || Inc(>=10): 3(3327) || Inc(>=10): 6(167) || Inc(>=10): 5(485) || Inc(>=10): 4(1221) || Inc(>=10): 1(154) || Inc(>=10): 7(90) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many cups/mugs of filter/americano/cafetiere coffee did you drink yesterday?"" This question was only asked to participants who reported drinking coffee yesterday."	100270	TRUE	TRUE	FALSE
Added milk to filtered coffee	309767	51427	100280_0|| CAT-SINGLE || reassignments: 111=NA || reorder 111|1 || Default related field: x20082_0_0 || default value 0 set, N= 44669 || Inc(>=10): 0(44669) || Inc(>=10): 2(6758) || CAT-SINGLE-BINARY || sample 44669/6758(51427) ||	44669	6758	binary	phesant	"Question asked: ""Did you add milk, cream or whitener (e.g. Coffee-mate) to your filter/americano/cafetiere coffee?"" This question was only asked to participants who reported drinking filter/americano/cafetiere coffee yesterday."	100280	TRUE	TRUE	TRUE
Decaffeinated coffee	309767	51427	100360_0|| CAT-SINGLE || reassignments: 111=NA || reorder 111|1 || Default related field: x20082_0_0 || default value 0 set, N= 45548 || Inc(>=10): 0(45548) || Inc(>=10): 2(5879) || CAT-SINGLE-BINARY || sample 45548/5879(51427) ||	45548	5879	binary	phesant	"Question asked: ""Was it decaffeinated coffee?"""	100360	TRUE	TRUE	TRUE
Intake of sugar added to coffee	309767	51427	100370_0|| CAT-SINGLE || reorder 555|1|2|300 || Default related field: x20082_0_0 || default value 0 set, N= 43660 || Inc(>=10): 0(43660) || Inc(>=10): 2(3963) || Inc(>=10): 1(2119) || Inc(>=10): 3(1546) || Inc(>=10): 4(139) || ordered || CAT-ORD || order: 555|1|2|300 || num categories: 5 ||			ordinal	phesant	"Question asked: ""How many teaspoons of sugar did you add to your coffee (per drink)?"""	100370	TRUE	TRUE	FALSE
Tea consumed	309767	51427	100390_0|| CAT-SINGLE || Inc(>=10): 0(10349) || Inc(>=10): 1(41078) || CAT-SINGLE-BINARY || sample 10349/41078(51427) ||	41078	10349	binary	phesant	"Question asked: ""Did you drink any tea/infusion yesterday?"" If the participant activated the Help feature they were shown the message: Standard tea covers all the different types of tea made with black tea leaves (this is the most common type of tea). This includes teabags and loose leaf tea as well as decaffeinated types. Peppermint tea belongs in the herbal or fruit infusion section. If you added honey to your tea/infusion, please treat this as sugar. Do not treat artificial sweetener as sugar. If your tea or infusion is not on the list, please record it under Other located at the bottom of the list."	100390	TRUE	TRUE	TRUE
Standard tea intake	309767	51427	100400_0|| CAT-SINGLE || Default related field: x20082_0_0 || default value 0 set, N= 14478 || Inc(>=10): 0(14478) || Inc(>=10): 600(4321) || Inc(>=10): 1(5040) || Inc(>=10): 4(6727) || Inc(>=10): 3(7902) || Inc(>=10): 2(8396) || Inc(>=10): 5(4563) || ordered || CAT-ORD || order: 0|1|2|3|4|5|600 || num categories: 7 ||			ordinal	phesant	"Question asked: ""How many cups/mugs of standard tea (e.g. Tetley, PG Tips, Assam, Darjeeling) did you drink yesterday?"""	100400	TRUE	TRUE	FALSE
Added milk to standard tea	309767	51427	100460_0|| CAT-SINGLE || reassignments: 111=NA || reorder 111|1 || Default related field: x20082_0_0 || default value 0 set, N= 17686 || Inc(>=10): 0(17686) || Inc(>=10): 2(33741) || CAT-SINGLE-BINARY || sample 17686/33741(51427) ||	17686	33741	binary	phesant	"Question asked: ""Did you add milk to your standard tea?"" This question was only asked to participants who reported drinking standard tea yesterday."	100460	TRUE	TRUE	TRUE
Milk intake	309781	51413	100520_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 49081 || Inc(>=10): 0(49081) || Inc(>=10): 2(1429) || Inc(>=10): 3(291) || Inc(>=10): 1(517) || Inc(>=10): 5(33) || Removed 7: 8<10 examples || Inc(>=10): 4(62) || Removed 6: 6<10 examples || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 6 ||			ordinal	phesant	"Question asked: ""How many glasses/carton/ 250ml of milk (excluding milkshakes) did you consume yesterday?"""	100520	TRUE	TRUE	FALSE
Alcohol consumed	309767	51427	100580_0|| CAT-SINGLE || Inc(>=10): 1(25436) || Inc(>=10): 0(25991) || CAT-SINGLE-BINARY || sample 25991/25436(51427) ||	25436	25991	binary	phesant	"Question asked: ""Did you have any alcoholic drinks yesterday? For instance, beer, wine or spirits."" If the participant activated the Help feature they were shown the message: Please treat liqueurs as spirits. If you had mixed drinks such as shandy, cocktails or alcopops, think about what went in them. For example, shandy is made from beer, lager or cider (please record the lemonade or ginger beer used in the shandy separately); cocktails and alcopops contain one or more spirits. Alcohol used in cooking should be ignored."	100580	TRUE	TRUE	TRUE
Red wine intake	309767	51427	100590_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 42221 || Inc(>=10): 3(3128) || Inc(>=10): 0(42221) || Inc(>=10): 4(1374) || Inc(>=10): 5(393) || Inc(>=10): 1(531) || Inc(>=10): 2(3528) || Inc(>=10): 6(142) || Inc(>=10): 7(110) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many wine glasses of red wine?"""	100590	TRUE	TRUE	FALSE
Rose wine intake	309767	51427	100630_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 49890 || Inc(>=10): 0(49890) || Inc(>=10): 6(21) || Inc(>=10): 1(103) || Inc(>=10): 3(507) || Inc(>=10): 2(659) || Inc(>=10): 4(187) || Inc(>=10): 5(48) || Inc(>=10): 7(12) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many wine glasses of rose wine?"""	100630	TRUE	TRUE	FALSE
White wine intake	309767	51427	100670_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 44266 || Inc(>=10): 0(44266) || Inc(>=10): 3(2430) || Inc(>=10): 5(342) || Inc(>=10): 2(2724) || Inc(>=10): 1(414) || Inc(>=10): 4(1039) || Inc(>=10): 6(117) || Inc(>=10): 7(95) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many wine glasses of white wine?"""	100670	TRUE	TRUE	FALSE
Beer/cider intake	309767	51427	100710_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 42472 || Inc(>=10): 0(42472) || Inc(>=10): 3(1928) || Inc(>=10): 2(3033) || Inc(>=10): 1(2117) || Inc(>=10): 4(878) || Inc(>=10): 7(200) || Inc(>=10): 5(540) || Inc(>=10): 6(259) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many pints of beer, lager or cider?"""	100710	TRUE	TRUE	FALSE
Fortified wine intake	309778	51416	100720_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 50479 || Inc(>=10): 0(50479) || Inc(>=10): 2(537) || Inc(>=10): 3(121) || Inc(>=10): 1(248) || Inc(>=10): 4(31) || Removed 7: 4<10 examples || Removed 5: 5<10 examples || Removed 6: 2<10 examples || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 5 ||			ordinal	phesant	"Question asked: ""How many sherry/port glasses of sherry, fortified wine or port?"""	100720	TRUE	TRUE	FALSE
Spirits intake	309767	51427	100730_0|| CAT-SINGLE || reorder 555|1|2|3|4|5|600 || Default related field: x20082_0_0 || default value 0 set, N= 47811 || Inc(>=10): 0(47811) || Inc(>=10): 2(1584) || Inc(>=10): 6(60) || Inc(>=10): 3(1018) || Inc(>=10): 4(292) || Inc(>=10): 1(382) || Inc(>=10): 5(193) || Inc(>=10): 7(87) || ordered || CAT-ORD || order: 555|1|2|3|4|5|600 || num categories: 8 ||			ordinal	phesant	"Question asked: ""How many measures of spirits e.g. vodka, whisky, gin, rum?"""	100730	TRUE	TRUE	FALSE
Breakfast cereal consumed	309767	51427	100760_0|| CAT-SINGLE || Inc(>=10): 1(34069) || Inc(>=10): 0(17358) || CAT-SINGLE-BINARY || sample 17358/34069(51427) ||	34069	17358	binary	phesant	"Question asked: ""Did you eat any breakfast cereal yesterday? This could be at any time of the day. Please include hot cereals, but not cereal bars."" If the participant activated the Help feature they were shown the message: If you had yogurt on your cereal (instead of milk), please record this later in the dessert section as a serving of yogurt. Two standard size shredded wheat or weetabix biscuits counts as one bowl. Please select the option that best describes your type of cereal, otherwise select the Other category."	100760	TRUE	TRUE	TRUE
Milk added to cereal	309767	51427	100890_0|| CAT-SINGLE || reassignments: 111=NA || reorder 111|1 || Default related field: x20082_0_0 || default value 0 set, N= 22510 || Inc(>=10): 2(28917) || Inc(>=10): 0(22510) || CAT-SINGLE-BINARY || sample 22510/28917(51427) ||	22510	28917	binary	phesant	"Question asked: ""Did you add milk to your cereal?"" This question was only asked to participants who reported consuming breakfast cereals yesterday."	100890	TRUE	TRUE	TRUE
Type milk consumed: did not have milk	309767	51427	100920_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 0  || Inc(>=10): 0(2529) ||	2529	48898	binary	phesant	"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message: If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk."	100920_0	TRUE	FALSE	FALSE
Type milk consumed: semiskimmed	309767	51427	100920_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 2102  || Inc(>=10): 2102(31930) ||	31930	19497	binary	phesant	"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message: If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk."	100920_2102	TRUE	TRUE	TRUE
Type milk consumed: skimmed	309767	51427	100920_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 2103  || Inc(>=10): 2103(10533) ||	10533	40894	binary	phesant	"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message: If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk."	100920_2103	TRUE	TRUE	TRUE
Type milk consumed: wholemilk	309767	51427	100920_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 2104  || Inc(>=10): 2104(2934) ||	2934	48493	binary	phesant	"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message: If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk."	100920_2104	TRUE	FALSE	FALSE
